age_group,gender,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,comment,application_area,image_files
21-24,"['Woman', 'Man']",3,4,4,4,4,4,5,4,4,4,4,3,3,2,4,4,4,5,4,The response seem out of sync and the wait between interactions are too long. It was noticeable that it cannot act and talk about different things at the same time.,"At homes,","IMG_2712.HEIC,IMG_2714.HEIC"
21-24,['Man'],2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,I liked the robot. I felt the verbal and nonverbal behaviour was clear and repeated when needed. Social cues were helpful. Would like to interact more to be comfortable.,"In homes, hospitals, elderly help, healthcare, manufacturing, service jobs","IMG_2715.HEIC,IMG_2716.HEIC"
25-29,['Man'],4,4,4,4,5,4,5,4,3,4,3,5,5,3,1,1,5,4,4,,,"IMG_2717.HEIC,IMG_2718.HEIC"
25-29,Woman,4,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,,"service jobs, hospitality","IMG_2719.HEIC,IMG_2720.HEIC"
21-24,Man,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,,"manufacturing/service, some simple home tasks","IMG_2722.HEIC,IMG_2723.HEIC"
25-29,Man,4,4,5,5,5,5,5,4,5,5,5,4,5,4,5,5,3,2,4,It was surprisingly expressive without a facial actor.,Service jobs,"IMG_2724.HEIC,IMG_2725.HEIC"
25-29,Woman,4,4,5,5,4,5,4,5,4,4,4,5,5,4,5,5,4,4,5,V. cool,At home and in manufacturing.,"IMG_2727.HEIC,IMG_2728.HEIC"
21-24,['Woman'],3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,"The robot at times had a hard time understanding the user's intent/interacts. The gripper, when passing the object back to user, seemed like it wasn't holding the object properly. Also seemed unpredictable when it could release object.",Yes if it's more polished / programmed for specific tasks in those industries,"IMG_2729.HEIC,IMG_2730.HEIC"
25-29,Man,4,3,5,4,4,5,4,5,5,5,4,4,4,4,4,4,3,3,3,"It was slow and often took several minutes to respond to old requests. This made it unpredictable and feel unsafe at times. However, the actions were expressive, easy to understand, and engaging.",Less precise applications such as homes or service jobs.,"IMG_2731.HEIC,IMG_2732.HEIC"
25-29,Man,5,5,5,2,4,5,5,4,3,3,3,4,4,4,4,4,4,2,4,Neglecting the time (up and down/up issue) the robot's movements were abrupt and sudden. This made me feel unsafe and uncomfortable to work near the robot or interact with it.,"In the future, could be useful at home and field service jobs.","IMG_2733.HEIC,IMG_2734.HEIC"
21-24,Man,3,3,3,3,3,2,2,3,4,3,4,4,4,4,3,3,1,2,2,The robot actions are jittery and very random compared to expectations. Seems dangerous especially while holding screwdrivers.,Manufacturing seems most appropriate as humans maintain a safe distance from robot.,"IMG_2736.HEIC,IMG_2737.HEIC"
25-29,['Man'],2,2,4,4,3,3,5,4,2,3,4,3,5,2,1,4,5,4,4,seems kind of dangerous to hand it hold sharp objects.,Nowhere at this time. Maybe in the future.,"IMG_2738.HEIC,IMG_2739.HEIC"
21-24,Non-binary/non-conforming,4,3,4,4,4,4,4,4,4,5,4,4,5,4,4,4,3,4,3,"The robot is struggling with delays and is not able to quickly respond to the user, making the interactions less natural.","It would be useful in low-intensity environments, such as a casual home environment or where slower responses and interactions can be tolerated.","IMG_2740.HEIC,IMG_2741.HEIC"
21-24,Man,2,2,5,5,4,4,5,5,4,5,3,5,5,3,3,3,2,4,4,"Overall good, just need improvements","Still in prototyping phase, more usefulness needed and speed of execution","IMG_2742.HEIC,IMG_2743.HEIC"
21-24,Man,2,2,4,4,4,2,2,2,3,2,4,2,4,2,2,2,2,4,3,,hospitals,"IMG_2744.HEIC,IMG_2745.HEIC"
25-29,Man,4,4,4,4,3,4,5,3,4,4,4,4,4,4,4,4,5,4,5,"With this level of 'sociability', I can't imagine talking to any consumer robot as a friend or as a 'whisperer' or a mechanical helper, and the command approach means huge gaps to address.","It can be a personal robot for sure. I can see it being adapt to its owner's habits and live/sleep with the owner. That said, home application to begin with.","IMG_2746.HEIC,IMG_2747.HEIC"
25-29,"['Woman', 'Man']",4,3,5,5,5,4,5,4,4,4,4,4,4,4,4,4,2,2,4,Behaviour is too quick. I would describe it as sudden & I was not expecting more than half of its behaviour.,"Not sure, maybe in homes? Perhaps larger scale.","IMG_2748.HEIC,IMG_2749.HEIC"
21-24,Man,4,3,4,3,4,4,4,4,3,3,4,4,4,4,4,4,2,4,3,"The robot was expressive, however it tends to react to the human responses late causing unnatural spaces with no speaking.",Helpful in service job (restaurants) and at homes.,"IMG_2750.HEIC,IMG_2751.HEIC"
21-24,"['Woman', 'Man']",2,4,2,4,3,4,4,2,4,4,4,4,4,4,4,4,2,4,4,I believe the concept is quite useful however the implementation was buggy. If the robot responded efficiently as planned my responses would most certainly improve.,"service jobs, homes","IMG_2752.HEIC,IMG_2753.HEIC"
21-24,Man,2,3,4,4,4,3,4,3,2,4,4,1,4,3,3,4,5,5,2,I feel bad for the robot. Almost seems like we were bullying it. It's trying its best. (Tone of this sentence is not intended to be serious),It would be beneficial in homes and service jobs if/when it works properly.,"IMG_2754.HEIC,IMG_2755.HEIC"
21-24,Man,4,2,2,4,4,4,3,1,2,4,2,4,2,2,3,2,5,5,2,I feel bad for the robot. Almost seems like we were bullying it. It's trying its best. (Tone of this sentence is not intended to be serious),It would be beneficial in homes and service jobs if/when it works properly.,"IMG_2756.HEIC,IMG_2757.HEIC"
25-29,Man,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,"Looked super impracticle, slow, and unnatural. Would take a lot of time and training for it to be a net positive in productivity.",Probably just in homes.,"IMG_2758.HEIC,IMG_2759.HEIC"
21-24,Man,4,4,5,4,4,5,4,3,4,4,4,3,4,4,4,4,4,4,4,,,"IMG_2760.HEIC,IMG_2761.HEIC"
